observed_at,price_value
2017-03-03,1153.48000000
2017-03-06,1154.42000000
2017-03-07,1149.50000000
2017-03-08,1152.29000000
2017-03-09,1158.52000000
2017-03-10,1156.21000000
2017-03-13,1146.92000000
2017-03-14,1149.91000000
2017-03-15,1146.00000000
2017-03-16,1127.32000000
2017-03-17,1129.92000000
2017-03-20,1115.66000000
2017-03-21,1118.32000000
2017-03-22,1119.72000000
2017-03-23,1119.40000000
2017-03-24,1120.19000000
2017-03-27,1109.33000000
2017-03-28,1113.46000000
2017-03-29,1112.66000000
2017-03-30,1116.77000000
2017-03-31,1117.33000000
2017-04-03,1117.24000000
2017-04-04,1124.90000000
2017-04-05,1126.35000000
2017-04-06,1131.11000000
2017-04-07,1134.85000000
2017-04-10,1142.16000000
2017-04-11,1144.03000000
2017-04-12,1140.27000000
2017-04-13,1131.64000000
2017-04-18,1143.09000000
2017-04-19,1139.79000000
2017-04-20,1136.28000000
2017-04-21,1135.79000000
2017-04-24,1128.52000000
2017-04-25,1127.79000000
2017-04-26,1130.90000000
2017-04-27,1134.39000000
2017-04-28,1137.87000000
2017-05-02,1130.23000000
2017-05-03,1131.53000000
2017-05-04,1135.87000000
2017-05-05,1141.44000000
2017-05-08,1133.01000000
2017-05-09,1137.91000000
2017-05-10,1134.88000000
2017-05-11,1128.51000000
2017-05-12,1127.73000000
2017-05-15,1117.00000000
2017-05-16,1116.52000000
2017-05-17,1119.72000000
2017-05-18,1132.91000000
2017-05-19,1119.54000000
2017-05-22,1117.21000000
2017-05-23,1123.95000000
2017-05-24,1122.76000000
2017-05-25,1119.80000000
2017-05-26,1118.10000000
2017-05-29,1121.06000000
2017-05-30,1124.13000000
2017-05-31,1118.45000000
2017-06-01,1121.67000000
2017-06-02,1123.25000000
2017-06-05,1118.58000000
2017-06-06,1120.16000000
2017-06-07,1124.55000000
2017-06-08,1123.36000000
2017-06-09,1124.32000000
2017-06-12,1131.96000000
2017-06-13,1128.63000000
2017-06-14,1125.10000000
2017-06-15,1131.17000000
2017-06-16,1133.12000000
2017-06-19,1133.82000000
2017-06-20,1139.97000000
2017-06-21,1142.11000000
2017-06-22,1142.41000000
2017-06-23,1137.71000000
2017-06-26,1136.53000000
2017-06-27,1138.31000000
2017-06-28,1143.39000000
2017-06-29,1142.63000000
2017-06-30,1143.15000000
2017-07-03,1148.66000000
2017-07-04,1151.77000000
2017-07-05,1154.37000000
2017-07-06,1157.17000000
2017-07-07,1155.01000000
2017-07-10,1149.87000000
