observed_at,price_value
2017-05-24,1406144.65140657
2017-05-25,1406244.89467983
2017-05-26,1417303.53270718
2017-05-30,1418764.44555999
2017-05-31,1422668.40000000
2017-06-01,1421155.89000000
2017-06-02,1434165.65484830
2017-06-05,1430999.44862026
2017-06-06,1449935.13134311
2017-06-07,1450781.92754973
2017-06-08,1433744.42285367
2017-06-09,1426199.92000000
2017-06-12,1433174.52836886
2017-06-13,1428619.90911100
2017-06-14,1432027.33493863
2017-06-15,1416451.01876497
2017-06-16,1420932.48000000
2017-06-19,1410698.78863557
2017-06-20,1414702.77000000
2017-06-21,1420099.60187891
2017-06-22,1425270.68811377
2017-06-23,1429191.24644562
2017-06-26,1416457.39449676
2017-06-27,1418789.61178615
2017-06-28,1426950.72000000
2017-06-29,1421660.19020538
2017-06-30,1418306.14917999
2017-07-03,1398953.04203879
2017-07-05,1408793.17617817
2017-07-06,1414293.11749539
2017-07-07,1395945.05780621
2017-07-10,1393757.39893167
2017-07-11,1396355.99591410
2017-07-12,1395747.67603005
2017-07-13,1383553.46854461
2017-07-14,1391651.26830539
2017-07-17,1389994.38305631
2017-07-18,1395108.07156096
2017-07-19,1392911.82120151
2017-07-20,1399814.99891080
2017-07-21,1403097.66362270
2017-07-24,1398499.77522496
2017-07-25,1397760.81847203
2017-07-26,1398642.69000000
2017-07-27,1403912.34479335
2017-07-28,1424907.90342195
2017-07-31,1421340.49460783
2017-08-01,1428060.78860807
2017-08-02,1429337.92087857
2017-08-03,1428721.90902799
2017-08-04,1414492.83389127
2017-08-07,1421224.91884310
2017-08-08,1414241.55947663
2017-08-09,1449539.64000000
2017-08-10,1467538.62117706
2017-08-11,1473733.96311553
2017-08-14,1463538.47435089
2017-08-15,1449432.33343292
2017-08-16,1455704.33482813
2017-08-17,1464836.57179591
2017-08-18,1467485.06726593
2017-08-21,1470182.53161591
2017-08-22,1457637.49831271
2017-08-23,1458532.15662260
2017-08-24,1450811.78000000
2017-08-25,1452589.05000000
2017-08-28,1466824.65431186
2017-08-29,1475491.04957122
2017-08-30,1469205.56858366
2017-08-31,1481738.41902865
2017-09-01,1483797.61500000
2017-09-05,1513376.29681917
2017-09-06,1513723.08670071
2017-09-07,1517878.06745454
2017-09-08,1521801.06000000
2017-09-11,1506359.25000000
2017-09-12,1497997.28000000
2017-09-13,1491392.42350861
2017-09-14,1499653.07372102
2017-09-15,1493385.63160795
2017-09-18,1472565.91904508
2017-09-19,1474621.37287386
2017-09-20,1478899.52000000
2017-09-21,1462933.79033053
2017-09-22,1462709.42222624
2017-09-25,1479284.58727507
2017-09-26,1476193.52000000
2017-09-27,1465950.84388208
2017-09-28,1473607.21500000
2017-09-29,1467368.76000000
2017-10-02,1458577.77903838
2017-10-03,1455028.31000000
2017-10-04,1450884.35137726
