observed_at,price_value
2018-08-29,1204.50000000
2018-08-30,1197.69995117
2018-08-31,1200.30004883
2018-09-04,1192.69995117
2018-09-05,1194.90002441
2018-09-06,1197.90002441
2018-09-07,1193.59997559
2018-09-10,1193.00000000
2018-09-11,1195.40002441
2018-09-12,1204.69995117
2018-09-13,1202.00000000
2018-09-14,1195.00000000
2018-09-17,1199.69995117
2018-09-18,1196.80004883
2018-09-19,1202.19995117
2018-09-20,1206.19995117
2018-09-21,1196.19995117
2018-09-24,1199.30004883
2018-09-25,1200.00000000
2018-09-26,1194.00000000
2018-09-27,1182.30004883
2018-09-28,1191.50000000
2018-10-01,1187.09997559
2018-10-02,1202.40002441
2018-10-03,1198.30004883
2018-10-04,1197.19995117
2018-10-05,1201.19995117
2018-10-08,1184.40002441
2018-10-09,1187.19995117
2018-10-10,1189.30004883
2018-10-11,1223.50000000
2018-10-12,1218.09997559
2018-10-15,1226.40002441
2018-10-16,1227.30004883
2018-10-17,1223.69995117
2018-10-18,1226.50000000
2018-10-19,1225.30004883
2018-10-22,1221.19995117
2018-10-23,1233.40002441
2018-10-24,1227.80004883
2018-10-25,1229.09997559
2018-10-26,1232.50000000
2018-10-29,1224.50000000
2018-10-30,1222.59997559
2018-10-31,1212.30004883
2018-11-01,1236.00000000
2018-11-02,1230.90002441
2018-11-05,1229.80004883
2018-11-06,1223.80004883
2018-11-07,1226.19995117
2018-11-08,1222.90002441
2018-11-09,1206.40002441
2018-11-12,1201.30004883
2018-11-13,1199.19995117
2018-11-14,1207.90002441
2018-11-15,1212.80004883
2018-11-16,1220.80004883
2018-11-19,1223.09997559
2018-11-20,1219.00000000
2018-11-21,1225.80004883
2018-11-23,1221.00000000
2018-11-26,1220.19995117
2018-11-27,1211.19995117
2018-11-28,1221.40002441
2018-11-29,1224.09997559
2018-11-30,1220.19995117
2018-12-03,1233.90002441
2018-12-04,1241.09997559
2018-12-06,1238.09997559
2018-12-07,1246.80004883
2018-12-10,1243.69995117
2018-12-11,1241.90002441
2018-12-12,1244.40002441
2018-12-13,1242.69995117
2018-12-14,1237.00000000
2018-12-17,1247.40002441
2018-12-18,1249.19995117
2018-12-19,1252.09997559
2018-12-20,1263.59997559
2018-12-21,1253.80004883
2018-12-24,1267.50000000
2018-12-26,1269.19995117
2018-12-27,1277.30004883
2018-12-28,1279.90002441
2018-12-31,1278.30004883
2019-01-02,1281.00000000
2019-01-03,1291.80004883
2019-01-04,1282.69995117
2019-01-07,1286.80004883
2019-01-08,1283.19995117
2019-01-09,1289.30004883
2019-01-10,1284.69995117
2019-01-11,1287.09997559
2019-01-14,1289.09997559
2019-01-15,1286.19995117
2019-01-16,1291.59997559
2019-01-17,1291.00000000
2019-01-18,1281.30004883
2019-01-22,1282.50000000
2019-01-23,1283.09997559
2019-01-24,1279.09997559
2019-01-25,1297.40002441
2019-01-28,1302.40002441
2019-01-29,1308.19995117
2019-01-30,1309.90002441
2019-01-31,1319.69995117
2019-02-01,1316.90002441
2019-02-04,1314.30004883
2019-02-05,1314.19995117
2019-02-06,1309.50000000
2019-02-07,1309.40002441
2019-02-08,1313.69995117
2019-02-11,1307.00000000
2019-02-12,1309.19995117
2019-02-13,1310.80004883
2019-02-14,1309.80004883
2019-02-15,1318.09997559
2019-02-19,1340.09997559
2019-02-20,1343.30004883
2019-02-21,1323.50000000
2019-02-22,1329.19995117
2019-02-25,1325.90002441
2019-02-26,1325.09997559
2019-02-27,1317.69995117
2019-02-28,1312.80004883
2019-03-01,1296.40002441
2019-03-04,1284.80004883
2019-03-05,1282.00000000
2019-03-06,1284.90002441
2019-03-07,1283.80004883
2019-03-08,1297.00000000
2019-03-11,1288.80004883
2019-03-12,1296.30004883
2019-03-13,1307.50000000
2019-03-14,1293.40002441
2019-03-15,1301.80004883
2019-03-18,1300.30004883
2019-03-19,1305.00000000
2019-03-20,1300.50000000
2019-03-21,1306.09997559
2019-03-22,1311.59997559
2019-03-25,1321.90002441
2019-03-26,1314.30004883
2019-03-27,1309.90002441
2019-03-28,1289.80004883
2019-03-29,1293.00000000
2019-04-01,1288.40002441
2019-04-02,1290.00000000
2019-04-03,1289.90002441
2019-04-04,1289.00000000
2019-04-05,1290.40002441
2019-04-08,1297.09997559
2019-04-09,1303.50000000
2019-04-10,1309.09997559
2019-04-11,1288.59997559
2019-04-12,1290.59997559
2019-04-15,1286.80004883
2019-04-16,1272.59997559
2019-04-17,1272.19995117
2019-04-18,1271.90002441
2019-04-22,1273.50000000
2019-04-23,1269.30004883
2019-04-24,1275.50000000
2019-04-25,1275.80004883
2019-04-26,1284.90002441
2019-04-29,1278.59997559
2019-04-30,1282.80004883
2019-05-01,1281.40002441
2019-05-02,1269.69995117
2019-05-03,1279.19995117
2019-05-06,1281.69995117
2019-05-07,1283.50000000
2019-05-08,1279.40002441
2019-05-09,1283.50000000
2019-05-10,1285.69995117
2019-05-13,1300.09997559
2019-05-14,1294.69995117
2019-05-15,1296.30004883
2019-05-16,1285.00000000
2019-05-17,1274.50000000
2019-05-20,1276.09997559
2019-05-21,1272.00000000
2019-05-22,1273.59997559
2019-05-23,1284.80004883
2019-05-24,1283.00000000
2019-05-28,1276.50000000
2019-05-29,1280.59997559
2019-05-30,1287.09997559
2019-05-31,1305.80004883
2019-06-03,1322.69995117
2019-06-04,1323.40002441
2019-06-05,1328.30004883
2019-06-06,1337.59997559
2019-06-07,1341.19995117
2019-06-10,1324.69995117
2019-06-11,1326.40002441
2019-06-12,1331.90002441
2019-06-13,1339.19995117
2019-06-14,1340.09997559
2019-06-17,1338.69995117
2019-06-18,1346.59997559
2019-06-19,1344.59997559
2019-06-20,1392.90002441
2019-06-21,1396.19995117
2019-06-24,1414.30004883
2019-06-25,1414.90002441
2019-06-26,1411.59997559
2019-06-27,1408.40002441
2019-06-28,1409.69995117
2019-07-01,1385.59997559
2019-07-02,1404.59997559
2019-07-03,1417.69995117
2019-07-05,1396.69995117
2019-07-08,1397.00000000
2019-07-09,1397.50000000
2019-07-10,1410.09997559
2019-07-11,1404.30004883
2019-07-12,1409.90002441
2019-07-15,1411.40002441
2019-07-16,1409.19995117
2019-07-17,1421.30004883
2019-07-18,1426.09997559
2019-07-19,1425.09997559
2019-07-22,1425.30004883
2019-07-23,1420.09997559
2019-07-24,1422.80004883
2019-07-25,1413.90002441
2019-07-26,1418.50000000
2019-07-29,1419.59997559
2019-07-30,1429.69995117
2019-07-31,1426.09997559
2019-08-01,1420.90002441
2019-08-02,1445.59997559
2019-08-05,1464.59997559
2019-08-06,1472.40002441
2019-08-07,1507.30004883
2019-08-08,1497.69995117
2019-08-09,1496.59997559
2019-08-12,1505.30004883
2019-08-13,1502.19995117
2019-08-14,1515.90002441
2019-08-15,1519.59997559
2019-08-16,1512.50000000
2019-08-19,1500.40002441
2019-08-20,1504.59997559
2019-08-21,1504.59997559
2019-08-22,1497.30004883
2019-08-23,1526.59997559
2019-08-26,1526.30004883
2019-08-27,1541.00000000
2019-08-28,1537.80004883
2019-08-29,1526.50000000
2019-08-30,1519.09997559
2019-09-03,1545.90002441
2019-09-04,1550.30004883
2019-09-05,1515.40002441
2019-09-06,1506.19995117
2019-09-09,1502.19995117
2019-09-10,1490.30004883
2019-09-11,1494.40002441
2019-09-12,1498.69995117
2019-09-13,1490.90002441
2019-09-16,1503.09997559
2019-09-17,1505.09997559
2019-09-18,1507.50000000
2019-09-19,1498.40002441
2019-09-20,1507.30004883
2019-09-23,1523.69995117
2019-09-24,1532.09997559
2019-09-25,1504.59997559
2019-09-26,1507.50000000
2019-09-27,1499.09997559
2019-09-30,1465.69995117
2019-10-01,1482.00000000
2019-10-02,1501.00000000
2019-10-03,1507.09997559
2019-10-04,1506.19995117
2019-10-07,1497.69995117
2019-10-08,1497.19995117
2019-10-09,1506.09997559
2019-10-10,1494.80004883
2019-10-11,1482.69995117
2019-10-14,1491.69995117
2019-10-15,1477.59997559
2019-10-16,1488.00000000
2019-10-17,1492.30004883
2019-10-18,1488.19995117
2019-10-21,1482.40002441
2019-10-22,1481.69995117
2019-10-23,1489.90002441
2019-10-24,1498.90002441
2019-10-25,1499.50000000
2019-10-28,1490.00000000
2019-10-29,1487.00000000
2019-10-30,1493.19995117
2019-10-31,1511.40002441
2019-11-01,1508.00000000
2019-11-04,1508.00000000
2019-11-05,1480.80004883
2019-11-06,1490.19995117
2019-11-07,1464.19995117
2019-11-08,1461.30004883
2019-11-11,1455.50000000
2019-11-12,1452.09997559
2019-11-13,1461.69995117
2019-11-14,1471.80004883
2019-11-15,1467.30004883
2019-11-18,1470.90002441
2019-11-19,1473.30004883
2019-11-20,1473.30004883
2019-11-21,1463.09997559
2019-11-22,1463.09997559
2019-11-25,1456.59997559
2019-11-26,1459.80004883
2019-11-27,1453.40002441
2019-11-29,1465.59997559
2019-12-02,1462.30004883
2019-12-03,1478.19995117
2019-12-04,1474.00000000
2019-12-05,1476.90002441
2019-12-06,1459.09997559
2019-12-09,1459.30004883
2019-12-10,1462.59997559
2019-12-11,1469.40002441
2019-12-12,1466.69995117
2019-12-13,1475.59997559
2019-12-16,1475.00000000
2019-12-17,1474.59997559
2019-12-18,1472.59997559
2019-12-19,1478.19995117
2019-12-20,1474.69995117
2019-12-23,1482.50000000
2019-12-24,1499.09997559
2019-12-26,1509.30004883
2019-12-27,1513.80004883
2019-12-30,1514.50000000
2019-12-31,1519.50000000
2020-01-02,1524.50000000
2020-01-03,1549.19995117
2020-01-06,1566.19995117
2020-01-07,1571.80004883
2020-01-08,1557.40002441
2020-01-09,1551.69995117
2020-01-10,1557.50000000
2020-01-13,1548.40002441
2020-01-14,1542.40002441
2020-01-15,1552.09997559
2020-01-16,1549.00000000
2020-01-17,1558.80004883
2020-01-21,1556.40002441
2020-01-22,1555.30004883
2020-01-23,1564.59997559
2020-01-24,1571.09997559
2020-01-27,1576.80004883
2020-01-28,1569.19995117
2020-01-29,1569.80004883
2020-01-30,1583.50000000
2020-01-31,1582.90002441
2020-02-03,1577.19995117
2020-02-04,1550.40002441
2020-02-05,1557.80004883
2020-02-06,1565.09997559
2020-02-07,1568.59997559
2020-02-10,1574.69995117
2020-02-11,1565.59997559
2020-02-12,1567.40002441
2020-02-13,1575.09997559
2020-02-14,1582.69995117
2020-02-18,1600.00000000
2020-02-19,1607.50000000
2020-02-20,1616.59997559
2020-02-21,1644.59997559
2020-02-24,1672.40002441
2020-02-25,1646.90002441
2020-02-26,1640.00000000
2020-02-27,1640.00000000
2020-02-28,1564.09997559
2020-03-02,1592.30004883
2020-03-03,1642.09997559
2020-03-04,1641.09997559
2020-03-05,1666.40002441
