instrument_code,observed_at,price_value
XAU_KRW,2016-05-23,1483454.26305657
USD_KRW,2016-05-24,1190.29000000
EUR_KRW,2016-05-24,1329.32000000
JPY_KRW,2016-05-24,10.84630000
XAU_USD,2016-05-24,1228.90002441
XAU_KRW,2016-05-24,1462747.41005498
USD_KRW,2016-05-25,1181.73000000
EUR_KRW,2016-05-25,1317.16000000
JPY_KRW,2016-05-25,10.72690000
XAU_USD,2016-05-25,1223.50000000
XAU_KRW,2016-05-25,1445846.65500000
USD_KRW,2016-05-26,1180.04000000
EUR_KRW,2016-05-26,1317.87000000
JPY_KRW,2016-05-26,10.72050000
XAU_USD,2016-05-26,1220.09997559
XAU_KRW,2016-05-26,1439766.77519522
USD_KRW,2016-05-27,1179.24000000
EUR_KRW,2016-05-27,1316.98000000
JPY_KRW,2016-05-27,10.75440000
XAU_USD,2016-05-27,1213.80004883
XAU_KRW,2016-05-27,1431361.56958229
USD_KRW,2016-05-30,1190.94000000
EUR_KRW,2016-05-30,1326.59000000
JPY_KRW,2016-05-30,10.71130000
USD_KRW,2016-05-31,1188.91000000
EUR_KRW,2016-05-31,1326.11000000
JPY_KRW,2016-05-31,10.70910000
XAU_USD,2016-05-31,1214.80004883
XAU_KRW,2016-05-31,1444287.92605448
USD_KRW,2016-06-01,1191.63000000
EUR_KRW,2016-06-01,1331.53000000
JPY_KRW,2016-06-01,10.90790000
XAU_USD,2016-06-01,1211.90002441
XAU_KRW,2016-06-01,1444136.42608769
USD_KRW,2016-06-02,1188.19000000
EUR_KRW,2016-06-02,1329.35000000
JPY_KRW,2016-06-02,10.89990000
XAU_USD,2016-06-02,1209.80004883
XAU_KRW,2016-06-02,1437472.32001932
USD_KRW,2016-06-03,1185.59000000
EUR_KRW,2016-06-03,1322.41000000
JPY_KRW,2016-06-03,10.88670000
XAU_USD,2016-06-03,1240.09997559
XAU_KRW,2016-06-03,1470250.13005975
USD_KRW,2016-06-06,1165.74000000
EUR_KRW,2016-06-06,1323.00000000
JPY_KRW,2016-06-06,10.88170000
XAU_USD,2016-06-06,1244.59997559
XAU_KRW,2016-06-06,1450879.97554429
USD_KRW,2016-06-07,1155.87000000
EUR_KRW,2016-06-07,1311.68000000
JPY_KRW,2016-06-07,10.73740000
XAU_USD,2016-06-07,1244.40002441
XAU_KRW,2016-06-07,1438364.65621479
USD_KRW,2016-06-08,1152.56000000
EUR_KRW,2016-06-08,1311.38000000
JPY_KRW,2016-06-08,10.76930000
XAU_USD,2016-06-08,1259.80004883
XAU_KRW,2016-06-08,1451995.14427950
USD_KRW,2016-06-09,1160.68000000
EUR_KRW,2016-06-09,1316.56000000
JPY_KRW,2016-06-09,10.90590000
XAU_USD,2016-06-09,1270.19995117
XAU_KRW,2016-06-09,1474295.67932400
USD_KRW,2016-06-10,1164.31000000
EUR_KRW,2016-06-10,1316.14000000
JPY_KRW,2016-06-10,10.89610000
XAU_USD,2016-06-10,1273.40002441
XAU_KRW,2016-06-10,1482632.38242081
USD_KRW,2016-06-13,1173.79000000
EUR_KRW,2016-06-13,1322.63000000
JPY_KRW,2016-06-13,11.06710000
XAU_USD,2016-06-13,1284.40002441
XAU_KRW,2016-06-13,1507615.90465221
USD_KRW,2016-06-14,1179.74000000
EUR_KRW,2016-06-14,1324.26000000
JPY_KRW,2016-06-14,11.13010000
XAU_USD,2016-06-14,1285.59997559
XAU_KRW,2016-06-14,1516673.71520255
USD_KRW,2016-06-15,1171.93000000
EUR_KRW,2016-06-15,1316.08000000
JPY_KRW,2016-06-15,11.03260000
XAU_USD,2016-06-15,1285.80004883
XAU_KRW,2016-06-15,1506867.65122534
USD_KRW,2016-06-16,1177.55000000
EUR_KRW,2016-06-16,1315.79000000
JPY_KRW,2016-06-16,11.27980000
XAU_USD,2016-06-16,1296.09997559
XAU_KRW,2016-06-16,1526222.52625600
USD_KRW,2016-06-17,1171.33000000
EUR_KRW,2016-06-17,1318.22000000
JPY_KRW,2016-06-17,11.23420000
XAU_USD,2016-06-17,1292.50000000
XAU_KRW,2016-06-17,1513944.02500000
